Filename	Platform	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	Per base sequence quality	Sequence Duplication Levels	Total Deduplicated Percentage	Overrepresented sequences	Adapter Content
E100013189_L01_62_2.fq.gz	BGI	97375972	0	150	47	pass	pass	73.0	pass	pass
E100013458_L01_78_2.fq.gz	BGI	38848368	0	150	48	pass	pass	82.0	pass	pass
E100010235_L01_90_2.fq.gz	BGI	50304265	0	150	45	pass	warn	62.0	pass	pass
E100013421_L01_15_2.fq.gz	BGI	26010297	0	150	47	pass	pass	90.0	pass	pass
E100016768_L01_49_2.fq.gz	BGI	47462182	0	150	44	pass	pass	81.0	pass	pass
E100013123_L01_85_2.fq.gz	BGI	24462099	0	150	42	pass	pass	74.0	pass	pass
E100016707_L01_126_2.fq.gz	BGI	59999145	0	150	46	pass	pass	87.0	pass	pass
E100009887_L01_58_2.fq.gz	BGI	58516459	0	150	44	pass	warn	56.0	pass	pass
E100016768_L01_72_2.fq.gz	BGI	32626558	0	150	48	pass	pass	82.0	pass	pass
E100016770_L01_3_2.fq.gz	BGI	53102109	0	150	46	pass	warn	66.0	pass	pass
E100013124_L01_94_2.fq.gz	BGI	29098396	0	150	43	pass	pass	75.0	pass	pass
E100010235_L01_28_2.fq.gz	BGI	56379996	0	150	47	pass	pass	81.0	pass	pass
E100010235_L01_69_2.fq.gz	BGI	52259111	0	150	47	pass	pass	90.0	pass	pass
E100013189_L01_3_2.fq.gz	BGI	54747780	0	150	47	pass	pass	75.0	pass	pass
E100009887_L01_68_2.fq.gz	BGI	83511157	0	150	46	pass	pass	71.0	pass	pass
E100013108_L01_124_2.fq.gz	BGI	40208419	0	150	43	pass	warn	59.0	pass	pass
E100013123_L01_115_2.fq.gz	BGI	66341384	0	150	46	pass	pass	76.0	pass	pass
E100010235_L01_87_2.fq.gz	BGI	49496072	0	150	45	pass	pass	77.0	pass	pass
E100013118_L01_90_2.fq.gz	BGI	58534043	0	150	46	pass	pass	90.0	pass	pass
E100013108_L01_126_2.fq.gz	BGI	48972509	0	150	45	pass	pass	76.0	pass	pass
