E100013421_L01_114_1_fastqc;V9IP0Z
E100013106_L01_97_1_fastqc;V9J61N
E100013106_L01_15_1_fastqc;V9JP03
E100012874_L01_89_1_fastqc;V9KDRC
E100013104_L01_117_1_fastqc;V9KN8S
E100013106_L01_67_1_fastqc;V9KP7B
E100016707_L01_65_1_fastqc;V9KTIJ
E100009678_L01_102_1_fastqc;V9LGD5
E100010924_L01_101_1_fastqc;V9LH4H
E100016707_L01_1_1_fastqc;V9LSS5
E100013104_L01_46_1_fastqc;V9OLUV
E100013421_L01_85_1_fastqc;V9QGG2
E100016707_L01_58_1_fastqc;V9QT74
E100009887_L01_98_1_fastqc;V9RXC6
E100010953_L01_104_1_fastqc;V9SUG3
E100013100_L01_115_1_fastqc;V9SV4C
E100013123_L01_115_1_fastqc;V9SV4C
E100016770_L01_56_1_fastqc;V9SW05
E100009727_L01_14_1_fastqc;V9T3WX
E100009772A_L01_82_1_fastqc;V9TIKS
E100013118_L01_46_1_fastqc;V9TITB
E100012874_L01_25_1_fastqc;V9U38S
E100010924_L01_123_1_fastqc;V9U6M4
E100013118_L01_84_1_fastqc;V9UYJ4
E100013128_L01_66_1_fastqc;V9V2LZ
E100009887_L01_15_1_fastqc;V9V7VJ
E100010953_L01_28_1_fastqc;V9VUWS
